isolate,genus,extr_spec,corr_spec,mlst_ST,updated_ST,dnaA,fusA,gyrB,leuS,pyrG,rplB,rpoB,ST,format,type,num_seqs,sum_len,min_len,avg_len,max_len,Q1,Q2,Q3,sum_gap,N50,Q20...,Q30...,AvgQual,GC...,merge_ST
Enterobacter_asburiae_111172.fa,ecloacae,asburiae,asburiae,-,2478,22,15,102,15,118,11,133,NA,FASTA,DNA,28,4489461,212,"160,337.9","1,773,491",513,"5,105","152,377",0,827448,0,0,0,55.97,22_15_102_15_118_11_133
Enterobacter_asburiae_11419.fa,ecloacae,asburiae,asburiae,709,709,229,16,243,273,22,9,15,709,FASTA,DNA,31,4487493,232,"144,757.8","2,533,524",452.5,"2,219","98,615.5",0,2533524,0,0,0,56.04,229_16_243_273_22_9_15
Enterobacter_asburiae_120020.fa,ecloacae,asburiae,asburiae,-,0,89,15,235,363,102,11,15,NA,FASTA,DNA,32,4599037,204,"143,719.9","1,191,244",516,"35,736","154,070.5",0,564526,0,0,0,55.95,89_15_235_363_102_11_15
Enterobacter_asburiae_120099.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,40,4560131,209,"114,003.3","2,572,912",299,726.5,"91,319.5",0,2572912,0,0,0,56.02,26_14_143_191_61_11_89
Enterobacter_asburiae_120121.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,42,4560573,209,"108,585.1","2,572,258",334,594.5,"81,717",0,2572258,0,0,0,56.02,26_14_143_191_61_11_89
Enterobacter_asburiae_120126.fa,ecloacae,asburiae,asburiae,657,657,243,14,259,148,132,11,15,657,FASTA,DNA,35,4589020,200,"131,114.9","2,610,708",285.5,752,"90,345",0,2610708,0,0,0,55.89,243_14_259_148_132_11_15
Enterobacter_asburiae_12539.fa,ecloacae,asburiae,asburiae,290,290,22,15,116,104,118,11,71,290,FASTA,DNA,30,4566639,229,"152,221.3","1,300,319",450,"5,505","136,879",0,556239,0,0,0,55.89,22_15_116_104_118_11_71
Enterobacter_asburiae_1339.fa,ecloacae,asburiae,asburiae,53,53,40,17,39,15,46,11,10,53,FASTA,DNA,41,5133021,525,"125,195.6","1,084,813","1,557","9,356","140,442",0,596624,0,0,0,55.64,40_17_39_15_46_11_10
Enterobacter_asburiae_13644.fa,ecloacae,asburiae,asburiae,-,0,22,15,102,104,86,201,133,NA,FASTA,DNA,29,4637487,293,"159,913.3","1,325,247","1,115","56,184","192,970",0,427568,0,0,0,55.87,22_15_102_104_86_201_133
Enterobacter_asburiae_1383.fa,ecloacae,asburiae,asburiae,-,0,498,137,233,578,24,240,52,NA,FASTA,DNA,14,4483235,716,"320,231.1","2,156,658","1,249","115,820","423,600",0,618428,0,0,0,56.18,498_137_233_578_24_240_52
Enterobacter_asburiae_14287.fa,ecloacae,asburiae,vonholyi,-,0,447,68,340,368,332,11,218,NA,FASTA,DNA,37,4563436,212,"123,336.1","1,381,681",565,"1,446","100,723",0,1253549,0,0,0,55.66,447_68_340_368_332_11_218
Enterobacter_asburiae_14448.fa,ecloacae,asburiae,asburiae,-,0,22,15,102,104,86,201,133,NA,FASTA,DNA,40,4678097,204,"116,952.4","761,098",616.5,"9,205.5","163,235.5",0,397069,0,0,0,55.76,22_15_102_104_86_201_133
Enterobacter_asburiae_14527.fa,ecloacae,asburiae,asburiae,-,1587,421,279,447,520,405,195,282,NA,FASTA,DNA,47,4683639,217,"99,651.9","1,018,538",483.5,"3,221","86,726",0,406208,0,0,0,55.32,421_279_447_520_405_195_282
Enterobacter_asburiae_1460.fa,ecloacae,asburiae,asburiae,562,562,22,15,102,104,101,11,71,562,FASTA,DNA,27,4602000,207,"170,444.4","1,843,456",418.5,"1,500","118,742",0,821619,0,0,0,55.85,22_15_102_104_101_11_71
Enterobacter_asburiae_15694.fa,ecloacae,asburiae,asburiae,657,657,243,14,259,148,132,11,15,657,FASTA,DNA,30,4486693,204,"149,556.4","1,715,092",225,"2,359","139,190",0,863122,0,0,0,56.08,243_14_259_148_132_11_15
Enterobacter_asburiae_161327.fa,ecloacae,asburiae,asburiae,-,2448,152,15,102,104,101,11,71,NA,FASTA,DNA,31,4717738,272,"152,185.1","951,832",685.5,"7,752","152,760",0,833292,0,0,0,55.7,152_15_102_104_101_11_71
Enterobacter_asburiae_161373-yvys.fa,ecloacae,asburiae,asburiae,-,0,243,14,97,191,400,11,15,NA,FASTA,DNA,4,4744908,"2,746","1,186,227","4,582,364","3,894","79,899","2,368,560",0,4582364,0,0,0,55.63,243_14_97_191_400_11_15
Enterobacter_asburiae_16678.fa,ecloacae,asburiae,asburiae,643,643,22,15,102,15,146,11,133,643,FASTA,DNA,27,4576266,275,"169,491.3","1,821,628",758.5,"5,291","124,493",0,792979,0,0,0,55.9,22_15_102_15_146_11_133
Enterobacter_asburiae_16773-yvys.fa,ecloacae,asburiae,asburiae,252,252,22,15,102,104,101,11,10,252,FASTA,DNA,7,5277234,"4,938","753,890.6","4,750,262","47,112.5","54,291","186,759",0,4750262,0,0,0,55.09,22_15_102_104_101_11_10
Enterobacter_asburiae_17Nkhm-UP2.fa,ecloacae,asburiae,asburiae,657,657,243,14,259,148,132,11,15,657,FASTA,DNA,2,4768325,"125,013","2,384,162.5","4,643,312","125,013","2,384,162.5","4,643,312",0,4643312,0,0,0,55.79,243_14_259_148_132_11_15
Enterobacter_asburiae_1808-013.fa,ecloacae,asburiae,asburiae,-,0,168,14,205,108,219,11,89,NA,FASTA,DNA,2,4770723,"130,975","2,385,361.5","4,639,748","130,975","2,385,361.5","4,639,748",0,4639748,0,0,0,55.79,168_14_205_108_219_11_89
Enterobacter_asburiae_2020EL-00107.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,26,4528228,501,"174,162.6","1,974,573",706,"43,617.5","176,625",0,463442,0,0,0,56.01,26_14_143_191_61_11_89
Enterobacter_asburiae_2022EL-00027.fa,ecloacae,asburiae,asburiae,-,2431,492,195,235,191,295,11,15,NA,FASTA,DNA,36,4467170,521,"124,088.1","586,959","9,883","58,595","177,954.5",0,356221,0,0,0,55.99,492_195_235_191_295_11_15
Enterobacter_asburiae_5549.fa,ecloacae,asburiae,asburiae,252,252,22,15,102,104,101,11,10,252,FASTA,DNA,3,5031473,"63,489","1,677,157.7","4,808,567","111,453","159,417","2,483,992",0,4808567,0,0,0,55.4,22_15_102_104_101_11_10
Enterobacter_asburiae_609.fa,ecloacae,asburiae,asburiae,-,684,221,137,233,257,217,11,52,NA,FASTA,DNA,14,4714306,"1,229","336,736.1","1,695,791","102,610","212,759","311,955",0,683694,0,0,0,55.82,221_137_233_257_217_11_52
Enterobacter_asburiae_A2563.fa,ecloacae,asburiae,asburiae,484,484,26,14,143,191,61,11,89,484,FASTA,DNA,1,4808368,"4,808,368","4,808,368","4,808,368","4,808,368","4,808,368","4,808,368",0,4808368,0,0,0,55.77,26_14_143_191_61_11_89
Enterobacter_asburiae_AEB30.fa,ecloacae,asburiae,roggenkampii,-,0,190,27,234,56,204,11,27,NA,FASTA,DNA,1,4748641,"4,748,641","4,748,641","4,748,641","4,748,641","4,748,641","4,748,641",0,4748641,0,0,0,55.77,190_27_234_56_204_11_27
Enterobacter_asburiae_AR0468-yvys.fa,ecloacae,asburiae,asburiae,27,27,26,16,25,53,22,9,15,27,FASTA,DNA,8,5385038,"3,497","673,129.8","4,889,693","4,964","26,774.5","214,185.5",0,4889693,0,0,0,55.13,26_16_25_53_22_9_15
